average_hr,average_watts,moving_time,average_speed,average_grade,distance,total_elevation_gain,labels,polyline,id
163.8,310.7,5.1,13.3,5.3,1.1,326.4,3,soseFhlqjVd@v@f@rAXpAJnABhA?hAD|B@`DNbGC`A[|ACp@JxAR`AR\\ZJz@B\\Fj@\\PTf@dA\\lAJv@@x@C`@K^uA~CIZ@\\RzAH~@H\\JZVTt@lALTJ\\TxAD|@B~@E~AOz@m@dCKr@m@vCGnA@bAH|@F\\h@~@j@x@d@f@V@TOVU`@m@H],4313
157.2,257.5,7.3,12.2,4.7,1.5,365.9,3,izxbFr}~iV\\j@\\T\\CvAa@l@YtCyA~@m@h@e@f@Sj@@j@VDFl@b@`ABb@RTp@Lp@j@xA^b@fAb@^`@Dn@C~@Pr@jAhAVf@Vv@j@\\h@MnAq@h@B\\r@d@ZNGr@{@r@k@lAq@jCoBb@e@p@cAp@{ApA_CXqAR}AXo@R{@LgBDqBFiA`@WVHz@^t@@r@Uj@c@VALTBPEf@Wz@Kt@DPfAxBPTp@VRApDq@rAe@FGZs@PmB`@oA,102471
154.4,248.3,17.4,13.3,3.8,3.8,771.1,3,mfpbFhucfVj@eAL]Ny@FgAGoCFaAF_@jCyJzAcGxBkIXaAn@{Ah@y@xIyH~B{B|A_A^Mn@]TQh@m@NYZw@~AgGt@oBfAcCj@w@hAqB|@kBzBcCx@cAlAoAjBuBbDeEP_@Z}@^}AbAeCXmAF[LaDFc@H]d@y@PQH@DMFKh@_BTiAXcAd@i@nBgBjAyAh@y@d@{@XeAl@iATw@H]D_@CmBBmC^mB@s@Ru@LWF[l@gBLYzAqCX{@N{@@_AF_A?c@J]RqAHK?EBITaCPq@?YC[JWFW^gAJWPWN_@v@{B`@uBVa@Ne@?KTi@PYFWF{@D_ARgBB_AXs@p@eAEk@JkAJc@NYn@{CDeBDe@Aa@ESPi@D_@?[DYUGr@B?C[SDk@@aA@GBkBHy@HWDyAP}@X_AL}@JwA?c@D_A?eCYu@Cs@Hc@Vw@PaA\\s@Rs@LWB_@n@wATUXu@DSFADKAg@J{AAa@F{@HY\\o@HUFeAHa@Xy@H]v@wAT[d@yAReABa@R{Ad@yA`@cBrAaHFcAAa@Ee@YiAk@iBwAaE,110903
156.2,257.9,12.5,11.1,5.1,2.4,633.5,3,cmabF~~qhVr@Ej@KTAr@JPJ\\JZ@XAb@[p@y@|@k@T_@Re@d@SPNARm@zAo@pBKp@e@pBKt@MpAB~@Jd@Jd@Zf@DL|@jA`@Rv@NRRH\\Bb@_AfBCHFp@HRd@r@`@b@pAx@bA`@d@Z`@t@b@Vd@PVNLVRTV@POp@iAl@GPETRr@p@b@@j@UZi@B_AH[`@]Rk@Xa@v@c@XGjAF~AM^VVd@Vp@XfABtADf@b@lBBZ?~AFr@Rd@Pj@Gp@Af@Nt@Lb@b@vCFv@ANDn@VZn@lAZXXB`@G`@WXCZHX\\LXBh@Gj@YrAQhBi@p@OdCBn@T`BJd@b@nAVrAz@xB`@lAHn@Gl@MXe@F[K[Ay@Je@h@Yb@_@TU`@o@|AK`@Il@Ml@Y^aARGVTl@Gp@Aj@DJ\\XDJHh@O^QVETL`ACZKd@o@\\e@HYLWXIXCb@Id@Yv@[h@sAbB,120657
158.3,282.0,7.1,13.8,4.2,1.6,354.4,3,}hcbFpk`hVcAN{@Vm@Vs@b@mA`Ac@b@w@h@g@h@sB`BYj@{@nCQ|AW`Aa@bA_@h@UV}@n@uBpAsAfAw@pAc@lA_@bBYbBOpAQv@[z@Y`Ai@x@s@x@u@p@wBpAoCdAgBpA{@~@s@nB_@vACj@@vCJjAn@pCnAbHb@fEBj@BrAMrCAdAc@~BMfAQxBY`CEhAMvAQrASjAUz@Ov@Qh@s@lA,120665
165.3,275.7,26.0,7.3,10.1,3.2,1691.2,3,}zybFhmefV]Cs@Bw@Xy@Le@O[Yc@kAQ[[[UK[GiAH]Gs@a@}@u@[a@Oa@Mi@Em@Ci@@mAG_CD]Je@hAaBv@}@@e@SSk@ESOB[~@k@Na@Ke@UU]Ea@FkA^mACc@LoCbAa@LYDm@A_@G}@ByAd@e@F_@AKKSm@Gc@@e@Ha@b@oAf@wCJc@Xi@Xc@Z]dA_Cx@aB~@mCTe@Ps@Ak@O_AL_@Zc@L]DyBHm@XeAPYZ_@rD_C`@[b@g@r@_B\\o@h@m@h@g@Xg@NyAFs@DoBJiALm@f@eAVuBBc@?cAC]Bc@RCRVp@^F@x@GjB]xB[r@_@l@e@Tk@C_@Ma@eAsBa@m@_@]kB_BmDeCOUGYB_@H]P[XUTE|@E\\KXWPe@^_BPYROVIRKCYsAS{A][Ae@P{AnAYFiAQ[A]DYL{@z@IDKKDMl@_ADQQKWBQGm@cBEa@D_@PYLu@EqA@w@A[@mCDkAMcAu@uBIe@MgDMyAGMCw@WcCGqBU}@oBmDWs@k@wBYo@Wa@,120709
161.3,217.4,11.6,7.6,5.4,1.4,406.9,3,mgydF|xkjVj@KzAu@n@Wf@@h@Ph@n@fBvCr@t@|AlA^TVJZV`@f@b@r@Vt@L~@P|BHxBDrEEpD_@rG]`FGlAG`GDtH?xBC`BEx@M`AUnAIbA?j@L|BLj@V|@p@nAn@~@h@~@`@bAV`AHl@Bl@WLaBM_BOaJmAuAEkAH,121631
161.6,288.9,9.2,14.6,3.8,2.2,447.5,3,sxueFxcohVg@p@_@fAE~@?hBJvCRdAd@dALl@DnEPzArAdC^tAPVfAr@t@x@p@`BBh@AVe@zC?lDK|@YjAqBlGYj@KPeAjAy@jAi@bAk@p@qAnAa@f@u@t@}@n@w@|@u@dAm@`Ag@bAwA`DSp@Wh@u@jAc@f@a@~@Mt@?v@KrAEXQl@eBjCe@vAWbAqAhBYf@Wn@q@dAUd@a@tBm@`CSjAOhAElAD^Tz@dAdDx@nDLXTz@RbA^pAZ\\j@~@|@\\j@LbAGhAYvAY`@QvAgA`BgAnA_@b@I`@Af@@d@HbBp@\\NXRx@ZpA^XD,123537
157.9,299.0,10.1,10.6,6.2,1.8,579.1,3,oafgFhgplVRZLZJx@C`AGj@O^e@r@a@d@u@t@yAbA]XQVa@bCEz@@\\Ez@G`BGv@Ut@[f@c@h@w@h@e@RmARc@Ni@^a@l@[p@YVMr@_@pA_@n@u@t@UPyAV{@Lg@`@e@j@Wv@UjAEz@FfA^rAhBfDTt@b@pB?pAIzALvCXfBBz@O~@Wn@aAv@c@Fa@Ag@MiBu@e@IeACq@La@Rg@h@[rAKbA@bAJ`@Rn@n@bA^^vAlBj@hARdA`@bBBzAHpA\\zALpAI|FFbBCf@Dx@@`CKn@?l@,126957
169.3,299.3,4.8,14.5,4.3,1.2,318.5,3,ghkeFfdkjVGUCs@[uASm@q@{A][u@[i@Ge@My@]k@Oy@e@_CiAyAw@Yi@Ji@DKdBmCVk@J{AUq@a@Oa@HKFs@hA}A|CS|@k@vCBp@JTZZ^ZbAl@~@t@PVH\\G`@WX[Jq@Bg@IuBw@_@c@e@gAKiAJuAMgAc@i@uAeAiAQi@Ve@`@w@Pi@QqAwAw@_@m@Le@Z,141491
