id,average_hr,average_watts,moving_time,average_speed,labels,polyline
110903,154.40499999999997,248.25083798882673,1044.148717948718,5.93572877426833,3,mfpbFhucfVj@eAL]Ny@FgAGoCFaAF_@jCyJzAcGxBkIXaAn@{Ah@y@xIyH~B{B|A_A^Mn@]TQh@m@NYZw@~AgGt@oBfAcCj@w@hAqB|@kBzBcCx@cAlAoAjBuBbDeEP_@Z}@^}AbAeCXmAF[LaDFc@H]d@y@PQH@DMFKh@_BTiAXcAd@i@nBgBjAyAh@y@d@{@XeAl@iATw@H]D_@CmBBmC^mB@s@Ru@LWF[l@gBLYzAqCX{@N{@@_AF_A?c@J]RqAHK?EBITaCPq@?YC[JWFW^gAJWPWN_@v@{B`@uBVa@Ne@?KTi@PYFWF{@D_ARgBB_AXs@p@eAEk@JkAJc@NYn@{CDeBDe@Aa@ESPi@D_@?[DYUGr@B?C[SDk@@aA@GBkBHy@HWDyAP}@X_AL}@JwA?c@D_A?eCYu@Cs@Hc@Vw@PaA\\s@Rs@LWB_@n@wATUXu@DSFADKAg@J{AAa@F{@HY\\o@HUFeAHa@Xy@H]v@wAT[d@yAReABa@R{Ad@yA`@cBrAaHFcAAa@Ee@YiAk@iBwAaE
120657,156.19903846153846,257.8572222222222,751.4205128205128,4.979456345929421,3,cmabF~~qhVr@Ej@KTAr@JPJ\\JZ@XAb@[p@y@|@k@T_@Re@d@SPNARm@zAo@pBKp@e@pBKt@MpAB~@Jd@Jd@Zf@DL|@jA`@Rv@NRRH\\Bb@_AfBCHFp@HRd@r@`@b@pAx@bA`@d@Z`@t@b@Vd@PVNLVRTV@POp@iAl@GPETRr@p@b@@j@UZi@B_AH[`@]Rk@Xa@v@c@XGjAF~AM^VVd@Vp@XfABtADf@b@lBBZ?~AFr@Rd@Pj@Gp@Af@Nt@Lb@b@vCFv@ANDn@VZn@lAZXXB`@G`@WXCZHX\\LXBh@Gj@YrAQhBi@p@OdCBn@T`BJd@b@nAVrAz@xB`@lAHn@Gl@MXe@F[K[Ay@Je@h@Yb@_@TU`@o@|AK`@Il@Ml@Y^aARGVTl@Gp@Aj@DJ\\XDJHh@O^QVETL`ACZKd@o@\\e@HYLWXIXCb@Id@Yv@[h@sAbB
120665,158.25319148936168,281.98756756756757,425.43589743589746,6.1831581485053,3,}hcbFpk`hVcAN{@Vm@Vs@b@mA`Ac@b@w@h@g@h@sB`BYj@{@nCQ|AW`Aa@bA_@h@UV}@n@uBpAsAfAw@pAc@lA_@bBYbBOpAQv@[z@Y`Ai@x@s@x@u@p@wBpAoCdAgBpA{@~@s@nB_@vACj@@vCJjAn@pCnAbHb@fEBj@BrAMrCAdAc@~BMfAQxBY`CEhAMvAQrASjAUz@Ov@Qh@s@lA
120709,165.2828282828283,275.7439153439153,1560.4717948717948,3.280796077451921,3,}zybFhmefV]Cs@Bw@Xy@Le@O[Yc@kAQ[[[UK[GiAH]Gs@a@}@u@[a@Oa@Mi@Em@Ci@@mAG_CD]Je@hAaBv@}@@e@SSk@ESOB[~@k@Na@Ke@UU]Ea@FkA^mACc@LoCbAa@LYDm@A_@G}@ByAd@e@F_@AKKSm@Gc@@e@Ha@b@oAf@wCJc@Xi@Xc@Z]dA_Cx@aB~@mCTe@Ps@Ak@O_AL_@Zc@L]DyBHm@XeAPYZ_@rD_C`@[b@g@r@_B\\o@h@m@h@g@Xg@NyAFs@DoBJiALm@f@eAVuBBc@?cAC]Bc@RCRVp@^F@x@GjB]xB[r@_@l@e@Tk@C_@Ma@eAsBa@m@_@]kB_BmDeCOUGYB_@H]P[XUTE|@E\\KXWPe@^_BPYROVIRKCYsAS{A][Ae@P{AnAYFiAQ[A]DYL{@z@IDKKDMl@_ADQQKWBQGm@cBEa@D_@PYLu@EqA@w@A[@mCDkAMcAu@uBIe@MgDMyAGMCw@WcCGqBU}@oBmDWs@k@wBYo@Wa@
121631,161.28000000000003,217.4,695.4285714285714,3.39996918652424,3,mgydF|xkjVj@KzAu@n@Wf@@h@Ph@n@fBvCr@t@|AlA^TVJZV`@f@b@r@Vt@L~@P|BHxBDrEEpD_@rG]`FGlAG`GDtH?xBC`BEx@M`AUnAIbA?j@L|BLj@V|@p@nAn@~@h@~@`@bAV`AHl@Bl@WLaBM_BOaJmAuAEkAH
123537,161.55999999999995,288.88105263157894,549.5589743589744,6.51317606658953,3,sxueFxcohVg@p@_@fAE~@?hBJvCRdAd@dALl@DnEPzArAdC^tAPVfAr@t@x@p@`BBh@AVe@zC?lDK|@YjAqBlGYj@KPeAjAy@jAi@bAk@p@qAnAa@f@u@t@}@n@w@|@u@dAm@`Ag@bAwA`DSp@Wh@u@jAc@f@a@~@Mt@?v@KrAEXQl@eBjCe@vAWbAqAhBYf@Wn@q@dAUd@a@tBm@`CSjAOhAElAD^Tz@dAdDx@nDLXTz@RbA^pAZ\\j@~@|@\\j@LbAGhAYvAY`@QvAgA`BgAnA_@b@I`@Af@@d@HbBp@\\NXRx@ZpA^XD
126957,157.94519230769234,299.01263736263724,603.6461538461539,4.720042307006142,3,oafgFhgplVRZLZJx@C`AGj@O^e@r@a@d@u@t@yAbA]XQVa@bCEz@@\\Ez@G`BGv@Ut@[f@c@h@w@h@e@RmARc@Ni@^a@l@[p@YVMr@_@pA_@n@u@t@UPyAV{@Lg@`@e@j@Wv@UjAEz@FfA^rAhBfDTt@b@pB?pAIzALvCXfBBz@O~@Wn@aAv@c@Fa@Ag@MiBu@e@IeACq@La@Rg@h@[rAKbA@bAJ`@Rn@n@bA^^vAlBj@hARdA`@bBBzAHpA\\zALpAI|FFbBCf@Dx@@`CKn@?l@
141491,169.32747252747254,299.31709844559583,289.48,6.485055962415363,3,ghkeFfdkjVGUCs@[uASm@q@{A][u@[i@Ge@My@]k@Oy@e@_CiAyAw@Yi@Ji@DKdBmCVk@J{AUq@a@Oa@HKFs@hA}A|CS|@k@vCBp@JTZZ^ZbAl@~@t@PVH\\G`@WX[Jq@Bg@IuBw@_@c@e@gAKiAJuAMgAc@i@uAeAiAQi@Ve@`@w@Pi@QqAwAw@_@m@Le@Z
226705,164.58365384615382,282.9875,1720.085,5.239034989549937,3,sfgcF`hziVYUw@e@eBq@eBcBoAw@OE_@]iAs@o@{@a@gA_@o@KI_BmBYQ}@c@{A]k@[k@i@yAuB}A}@e@k@_BqCiAyACKO]GYWw@CUIiAIsBOiAQw@M[y@_Bg@m@Wg@S{@COM_DYo@q@g@w@e@i@k@Q[_@c@m@m@a@q@kAeCy@m@QG]C]Dc@@yATYBcBSg@C@EIBWAK@MCy@By@Ke@Kk@?BCKBm@?IDEHy@Fe@Lg@ZKBI@[LYAQDAMm@d@STD?UPQOO]SUKIQKYGYCa@BHCu@T[?QSO]MO]EX@_@?e@VgCvBKP{@~@_@j@e@f@i@x@MHCFEAKO?KJaC?g@Ls@p@sB@YAIAIOKKEsAC@@kAGe@@IBe@RWVo@xA_@`@m@`@YLWBWGEa@Bc@AQGSMQOKMCsAGQEYSKMIc@?QL]HMf@]HKZyAN]\\c@Pk@@SC_@Ki@QYEE]Is@EQG]o@ScA@MPk@BW?UQa@[[_@I_ACc@Bs@Nw@HQFWNa@v@CNAZBn@Hn@@d@[dBEHa@XQKe@c@_@S_AWQIo@MSQGM[a@Aw@MiAAi@QeAQk@Ck@DWZkAFg@Ri@Ja@BUA[@YLa@N[^]rAs@lAcADGF_@Ma@i@a@a@SQQm@oAMc@EwABQLa@R[Zw@Do@Cg@EMAgAB_BEg@UqB@_AHa@Vm@lAiAp@eAFg@BmAH_Ad@oBZaAT}@r@mATk@BKDu@Ay@@o@AuABKCg@Dg@d@{ADQBc@W_BTs@JCd@UNYJa@Ba@Tu@Xg@^}@BQAEc@MUSGCaBOIEa@i@Ko@AkBMaAs@}@OAIEQAa@RqAdAQHe@LYFe@OEc@?QFe@Lc@Tg@f@}@dBkBz@cBf@mAAGIg@[c@ECcAW}Bc@g@SUG]CFAsAIQk@Pk@t@s@b@WTYv@o@PYDQf@m@p@_@pA_@DGP]DUBu@A_APy@HCRa@j@k@XDNCp@[nAEbAi@KMLy@CE@Ui@w@G_@QWQ@q@Ja@@eAk@WIi@Eq@?oAPMAg@DeARKDYXKPoA`@wA@s@MIEYWIM_@iAIw@GYc@kAYg@q@}@GQBo@Vi@f@o@^gAT}Bd@uCF{BEy@Ka@S[yAmBQ_@EW
228603,154.46642191509122,262.2783194911948,871.6569839015953,8.209767193993564,3,ef{dFlrljVgD`BiAf@i@f@i@XI@QLM^PrAVx@h@bAl@p@LHjAdAj@b@p@r@b@h@d@x@Vt@ZfAb@`C@r@OhCKbAk@vCGl@GTY|AWz@Y~Bc@vBYjBO`AIjAi@lDw@zEaBnJOvA?xAFdANbAV|@Vr@h@|@lAjAd@V`@LlATd@@d@An@GzAYdDg@dB}@b@GR@^F\\Pf@f@Pf@LENP
